pid,tid,picid,picgender,stroopWord,congruency,response,correctAns,sbjResp,sbjRT,sbjACC
1.0,0.0,50.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,1.0,64.0,female,Female,congruent,nogo,None,None,,1.0
1.0,2.0,27.0,male,Female,incongruent,go,g,g,318.3279868680984,1.0
1.0,3.0,16.0,male,Female,incongruent,go,g,g,485.0586981046945,1.0
1.0,4.0,15.0,male,Female,incongruent,go,g,g,468.377627665177,1.0
1.0,5.0,54.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,6.0,20.0,male,Female,incongruent,go,g,g,399.2113007698208,1.0
1.0,7.0,74.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,8.0,35.0,male,Male,congruent,go,g,g,418.5396812390536,1.0
1.0,9.0,40.0,male,Female,incongruent,go,g,g,481.5248262602836,1.0
1.0,10.0,82.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,11.0,85.0,female,Female,congruent,nogo,None,None,,1.0
1.0,12.0,34.0,male,Female,incongruent,go,g,g,451.6029807273298,1.0
1.0,13.0,93.0,female,Female,congruent,nogo,None,None,,1.0
1.0,14.0,79.0,female,Female,congruent,nogo,None,None,,1.0
1.0,15.0,53.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,16.0,78.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,17.0,69.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,18.0,14.0,male,Female,incongruent,go,g,g,448.5309545416385,1.0
1.0,19.0,18.0,male,Male,congruent,go,g,g,515.5006479471922,1.0
1.0,20.0,44.0,male,Female,incongruent,go,g,g,398.2429348398,1.0
1.0,21.0,96.0,female,Female,congruent,nogo,None,None,,1.0
1.0,22.0,29.0,male,Female,incongruent,go,g,g,584.8918601404876,1.0
1.0,23.0,67.0,female,Female,congruent,nogo,None,None,,1.0
1.0,24.0,45.0,male,Male,congruent,go,g,g,382.4182404205203,1.0
1.0,25.0,9.0,male,Female,incongruent,go,g,g,531.7630388308316,1.0
1.0,26.0,19.0,male,Female,incongruent,go,g,g,431.9651944097132,1.0
1.0,27.0,51.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,28.0,43.0,male,Male,congruent,go,g,g,366.9452127069235,1.0
1.0,29.0,2.0,male,Female,incongruent,go,g,g,414.6782914176583,1.0
1.0,30.0,42.0,male,Female,incongruent,go,g,g,517.0328877866268,1.0
1.0,31.0,80.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,32.0,72.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,33.0,94.0,female,Female,congruent,nogo,None,None,,1.0
1.0,34.0,47.0,male,Male,congruent,go,g,g,381.3366771209985,1.0
1.0,35.0,73.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,36.0,1.0,male,Female,incongruent,go,g,g,414.1120025888085,1.0
1.0,37.0,7.0,male,Male,congruent,go,g,g,531.4820075873286,1.0
1.0,38.0,26.0,male,Female,incongruent,go,g,g,480.8166634757072,1.0
1.0,39.0,71.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,40.0,92.0,female,Female,congruent,nogo,None,None,,1.0
1.0,41.0,3.0,male,Male,congruent,go,g,g,363.5909475851804,1.0
1.0,42.0,21.0,male,Male,congruent,go,g,g,501.56529364176106,1.0
1.0,43.0,63.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,44.0,12.0,male,Male,congruent,go,g,g,385.2680982090533,1.0
1.0,45.0,25.0,male,Male,congruent,go,g,g,552.2553902119398,1.0
1.0,46.0,65.0,female,Female,congruent,nogo,None,None,,1.0
1.0,47.0,99.0,female,Female,congruent,nogo,None,None,,1.0
1.0,48.0,38.0,male,Male,congruent,go,g,g,366.4063930045813,1.0
1.0,49.0,22.0,male,Female,incongruent,go,g,g,532.7359328512102,1.0
1.0,50.0,17.0,male,Female,incongruent,go,g,g,418.5484352055937,1.0
1.0,51.0,0.0,male,Female,incongruent,go,g,g,435.2726715151221,1.0
1.0,52.0,70.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,53.0,88.0,female,Female,congruent,nogo,None,None,,1.0
1.0,54.0,83.0,female,Female,congruent,nogo,None,None,,1.0
1.0,55.0,11.0,male,Male,congruent,go,g,g,316.05981290340424,1.0
1.0,56.0,33.0,male,Female,incongruent,go,g,g,432.55714140832407,1.0
1.0,57.0,90.0,female,Female,congruent,nogo,None,None,,1.0
1.0,58.0,68.0,female,Male,incongruent,nogo,None,None,,1.0
1.0,59.0,61.0,female,Female,congruent,nogo,None,None,,1.0
