pid,tid,picid,picgender,correctAns,memCond,congruency,response,sbjResp,sbjRT,sbjACC
1.0,0.0,73.0,female,y,old,incongruent,nogo,,,0.0
1.0,1.0,84.0,female,y,old,congruent,nogo,v,1452.958330977708,1.0
1.0,2.0,11.0,male,y,old,congruent,go,v,1653.200603555888,1.0
1.0,3.0,20.0,male,y,old,incongruent,go,v,1369.70843677409,1.0
1.0,4.0,29.0,male,y,old,incongruent,go,v,919.5592124015093,1.0
1.0,5.0,68.0,female,y,old,incongruent,nogo,b,1903.6237355321646,1.0
1.0,6.0,34.0,male,y,old,incongruent,go,n,2203.6566080059856,0.0
1.0,7.0,67.0,female,y,old,congruent,nogo,n,1670.1796094421297,0.0
1.0,8.0,89.0,female,n,new,,,n,1386.48127252236,1.0
1.0,9.0,75.0,female,y,old,incongruent,nogo,b,1886.8958768434823,1.0
1.0,10.0,2.0,male,y,old,incongruent,go,n,1903.310707071796,0.0
1.0,11.0,95.0,female,n,new,,,v,1570.030098548159,0.0
1.0,12.0,18.0,male,y,old,congruent,go,n,1503.140699584037,0.0
1.0,13.0,39.0,male,y,old,congruent,go,n,1453.1056385021657,0.0
1.0,14.0,32.0,male,y,old,congruent,go,n,2103.6423300392926,0.0
1.0,15.0,48.0,male,y,old,congruent,go,v,1019.5891868788749,1.0
1.0,16.0,96.0,female,y,old,congruent,nogo,v,1036.3297236617655,1.0
1.0,17.0,45.0,male,y,old,congruent,go,n,1569.4770915433764,0.0
1.0,18.0,97.0,female,n,new,,,b,1703.3319578040391,0.0
1.0,19.0,31.0,male,y,old,congruent,go,n,1803.5557265393436,0.0
1.0,20.0,23.0,male,n,new,,,b,1369.7413392364979,0.0
1.0,21.0,26.0,male,y,old,incongruent,go,b,1269.5987711194903,1.0
1.0,22.0,27.0,male,y,old,incongruent,go,v,986.2463653553277,1.0
1.0,23.0,85.0,female,y,old,congruent,nogo,v,969.5314865093678,1.0
1.0,24.0,40.0,male,y,old,incongruent,go,v,1035.9149684663862,1.0
1.0,25.0,5.0,male,n,new,,,m,1469.9125844053924,1.0
1.0,26.0,8.0,male,n,new,,,n,1503.1512647401541,1.0
1.0,27.0,92.0,female,y,old,congruent,nogo,b,1286.3233091775328,1.0
1.0,28.0,17.0,male,y,old,incongruent,go,b,1503.0579899903387,1.0
1.0,29.0,66.0,female,n,new,,,n,1669.6872764732689,1.0
1.0,30.0,13.0,male,n,new,,,n,1653.2169040292501,1.0
1.0,31.0,0.0,male,y,old,incongruent,go,m,1603.2394983340055,0.0
1.0,32.0,93.0,female,y,old,congruent,nogo,b,1436.4460001233965,1.0
1.0,33.0,6.0,male,y,old,congruent,go,b,1419.8545820545405,1.0
1.0,34.0,54.0,female,y,old,incongruent,nogo,b,1403.1566076446325,1.0
1.0,35.0,1.0,male,y,old,incongruent,go,v,1036.2741816788912,1.0
1.0,36.0,78.0,female,y,old,incongruent,nogo,b,1303.2703180797398,1.0
1.0,37.0,38.0,male,y,old,congruent,go,b,1436.6527739912271,1.0
1.0,38.0,43.0,male,y,old,congruent,go,n,1186.35008437559,0.0
1.0,39.0,25.0,male,y,old,congruent,go,,,0.0
1.0,40.0,79.0,female,y,old,congruent,nogo,b,1302.992305252701,1.0
1.0,41.0,83.0,female,y,old,congruent,nogo,b,1269.689630717039,1.0
1.0,42.0,82.0,female,y,old,incongruent,nogo,n,1269.7850186377764,0.0
1.0,43.0,58.0,female,y,old,congruent,nogo,b,1803.6034204997122,1.0
1.0,44.0,59.0,female,y,old,congruent,nogo,b,1570.1200526673347,1.0
1.0,45.0,46.0,male,n,new,,,v,1469.8120653629303,0.0
1.0,46.0,35.0,male,y,old,congruent,go,v,1586.6311758290976,1.0
1.0,47.0,52.0,female,y,old,incongruent,nogo,n,1753.3196269068867,0.0
1.0,48.0,74.0,female,y,old,incongruent,nogo,b,1736.8761200923473,1.0
1.0,49.0,62.0,female,n,new,,,m,1903.123252093792,1.0
1.0,50.0,81.0,female,n,new,,,m,1436.5709701087326,1.0
1.0,51.0,72.0,female,y,old,incongruent,nogo,n,2203.5328454803675,0.0
1.0,52.0,65.0,female,y,old,congruent,nogo,b,1536.5330264903605,1.0
1.0,53.0,86.0,female,y,old,incongruent,nogo,b,1303.036980330944,1.0
1.0,54.0,47.0,male,y,old,congruent,go,n,1786.7321781814098,0.0
1.0,55.0,41.0,male,y,old,congruent,go,n,1253.0701400246471,0.0
1.0,56.0,44.0,male,y,old,incongruent,go,n,1369.7826941497624,0.0
1.0,57.0,50.0,female,y,old,incongruent,nogo,b,1186.520031420514,1.0
1.0,58.0,49.0,male,n,new,,,b,1836.9248101953417,0.0
1.0,59.0,99.0,female,y,old,congruent,nogo,b,1186.262846691534,1.0
1.0,60.0,63.0,female,y,old,incongruent,nogo,b,986.0906056128442,1.0
1.0,61.0,28.0,male,y,old,incongruent,go,v,1352.885190397501,1.0
1.0,62.0,76.0,female,n,new,,,b,1152.902517002076,0.0
1.0,63.0,94.0,female,y,old,congruent,nogo,b,1086.4073468837887,1.0
1.0,64.0,91.0,female,y,old,congruent,nogo,b,1152.9752651695162,1.0
1.0,65.0,88.0,female,y,old,congruent,nogo,v,1219.6971322409809,1.0
1.0,66.0,64.0,female,y,old,congruent,nogo,b,1453.2755855470896,1.0
1.0,67.0,22.0,male,y,old,incongruent,go,b,1336.330297170207,1.0
1.0,68.0,9.0,male,y,old,incongruent,go,n,1502.9043431859463,0.0
1.0,69.0,70.0,female,y,old,incongruent,nogo,n,736.0315166879445,0.0
1.0,70.0,55.0,female,n,new,,,b,1353.179503697902,0.0
1.0,71.0,15.0,male,y,old,incongruent,go,n,1419.670749688521,0.0
1.0,72.0,7.0,male,y,old,congruent,go,m,1436.3355194218457,0.0
1.0,73.0,3.0,male,y,old,congruent,go,n,1419.819868169725,0.0
1.0,74.0,19.0,male,y,old,incongruent,go,n,1152.411995222792,0.0
1.0,75.0,14.0,male,y,old,incongruent,go,b,1369.46604331024,1.0
1.0,76.0,24.0,male,n,new,,,b,1086.3140723668039,0.0
1.0,77.0,21.0,male,y,old,congruent,go,b,1118.515562498942,1.0
1.0,78.0,98.0,female,n,new,,,n,1683.7466948200017,1.0
1.0,79.0,37.0,male,y,old,congruent,go,b,1468.742576194927,1.0
1.0,80.0,87.0,female,y,old,incongruent,nogo,n,1084.5620785839856,0.0
1.0,81.0,69.0,female,y,old,incongruent,nogo,n,735.301016131416,0.0
1.0,82.0,36.0,male,n,new,,,n,1152.52096648328,1.0
1.0,83.0,71.0,female,y,old,incongruent,nogo,b,1469.8386287782341,1.0
1.0,84.0,33.0,male,y,old,incongruent,go,b,1219.7544854134321,1.0
1.0,85.0,10.0,male,n,new,,,n,1652.3104191292077,1.0
1.0,86.0,51.0,female,y,old,incongruent,nogo,n,1269.7859241161495,0.0
1.0,87.0,30.0,male,y,old,congruent,go,v,1303.1302553135902,1.0
1.0,88.0,42.0,male,y,old,incongruent,go,v,1753.1976755708456,1.0
1.0,89.0,80.0,female,y,old,incongruent,nogo,v,1653.4734847955406,1.0
1.0,90.0,57.0,female,y,old,congruent,nogo,b,1252.6671572122723,1.0
1.0,91.0,12.0,male,y,old,congruent,go,b,1219.2962623666972,1.0
1.0,92.0,90.0,female,y,old,congruent,nogo,b,1202.8557742014527,1.0
1.0,93.0,77.0,female,y,old,congruent,nogo,n,1303.1193881761283,0.0
1.0,94.0,53.0,female,y,old,incongruent,nogo,b,1353.2510444056243,1.0
1.0,95.0,16.0,male,y,old,incongruent,go,m,1403.1723043881357,0.0
1.0,96.0,61.0,female,y,old,congruent,nogo,n,1553.1380278989673,0.0
1.0,97.0,4.0,male,n,new,,,n,1435.8449974097311,1.0
1.0,98.0,60.0,female,n,new,,,b,1519.9301375541836,0.0
1.0,99.0,56.0,female,y,old,incongruent,nogo,b,1369.4826455321163,1.0
2.0,0.0,2.0,male,y,old,incongruent,nogo,,,0.0
2.0,1.0,91.0,female,y,old,incongruent,go,v,785.8113768161274,1.0
2.0,2.0,75.0,female,y,old,congruent,go,v,1403.3101957757026,1.0
2.0,3.0,26.0,male,y,old,incongruent,nogo,v,652.619917615084,1.0
2.0,4.0,84.0,female,y,old,incongruent,go,v,1269.8473645432387,1.0
2.0,5.0,74.0,female,y,old,incongruent,go,b,1520.2301983663347,1.0
2.0,6.0,4.0,male,y,old,congruent,nogo,v,1036.3840805366635,1.0
2.0,7.0,50.0,female,y,old,congruent,go,v,1003.0578408623114,1.0
2.0,8.0,10.0,male,y,old,incongruent,nogo,b,1169.5504853269085,1.0
2.0,9.0,31.0,male,y,old,congruent,nogo,n,1920.4970425344072,0.0
2.0,10.0,99.0,female,y,old,incongruent,go,n,1720.2410653117113,0.0
2.0,11.0,28.0,male,y,old,incongruent,nogo,b,719.5093568880111,1.0
2.0,12.0,90.0,female,y,old,congruent,go,n,1653.6495617765468,0.0
2.0,13.0,39.0,male,y,old,incongruent,nogo,b,869.5337320968974,1.0
2.0,14.0,42.0,male,y,old,congruent,nogo,b,835.6744078628253,1.0
2.0,15.0,23.0,male,y,old,incongruent,nogo,b,1136.365818005288,1.0
2.0,16.0,51.0,female,y,old,incongruent,go,b,836.360535438871,1.0
2.0,17.0,89.0,female,n,new,,,n,802.9259281174745,1.0
2.0,18.0,18.0,male,y,old,incongruent,nogo,n,969.6715311438311,0.0
2.0,19.0,56.0,female,y,old,congruent,go,n,1053.1738305580802,0.0
2.0,20.0,66.0,female,y,old,incongruent,go,b,1353.3173649339005,1.0
2.0,21.0,40.0,male,y,old,incongruent,nogo,n,919.5784828043543,0.0
2.0,22.0,52.0,female,y,old,incongruent,go,n,952.5772044435143,0.0
2.0,23.0,12.0,male,y,old,congruent,nogo,b,936.2948809284717,1.0
2.0,24.0,92.0,female,y,old,incongruent,go,n,986.3948720158078,0.0
2.0,25.0,73.0,female,y,old,incongruent,go,n,852.9272110026795,0.0
2.0,26.0,97.0,female,y,old,congruent,go,n,819.463323277887,0.0
2.0,27.0,93.0,female,y,old,incongruent,go,n,853.0002611223608,0.0
